id,chr,start,end,strand
BGIOSGA002603-PA,1,446779,446858,+
BGIOSGA002603-PA,1,446926,447028,+
BGIOSGA002603-PA,1,447130,447176,+
BGIOSGA002603-PA,1,447274,447373,+
BGIOSGA002603-PA,1,447475,447606,+
BGIOSGA002603-PA,1,447805,447939,+
BGIOSGA002603-PA,1,448023,448088,+
BGIOSGA002603-PA,1,448787,448927,+
BGIOSGA002603-PA,1,449045,449122,+
BGIOSGA002546-PA,1,479216,479509,-
BGIOSGA002546-PA,1,480061,480516,-
BGIOSGA002546-PA,1,482467,482847,-
BGIOSGA002608-PA,1,498567,499838,+
BGIOSGA002614-PA,1,531261,531410,+
BGIOSGA002614-PA,1,531572,531634,+
BGIOSGA002614-PA,1,531733,532043,+
BGIOSGA002614-PA,1,532188,532284,+
BGIOSGA002614-PA,1,532361,532438,+
BGIOSGA002614-PA,1,532526,532585,+
BGIOSGA002614-PA,1,532684,532776,+
BGIOSGA002614-PA,1,533396,533509,+
BGIOSGA002614-PA,1,533798,533839,+
BGIOSGA002614-PA,1,534033,534149,+
BGIOSGA002614-PA,1,534194,534408,+
BGIOSGA002614-PA,1,535154,535437,+
BGIOSGA002614-PA,1,535521,535642,+
BGIOSGA002614-PA,1,535768,535810,+
BGIOSGA002614-PA,1,535915,536006,+
BGIOSGA002614-PA,1,536974,537022,+
BGIOSGA002614-PA,1,537265,537335,+
BGIOSGA002614-PA,1,537435,537554,+
BGIOSGA002614-PA,1,538228,538316,+
BGIOSGA002614-PA,1,538895,538940,+
BGIOSGA002614-PA,1,539562,539609,+
BGIOSGA002616-PA,1,550852,550961,+
BGIOSGA002616-PA,1,551038,551257,+
BGIOSGA002616-PA,1,552129,552329,+
BGIOSGA002616-PA,1,552439,552509,+
BGIOSGA002616-PA,1,552582,552741,+
BGIOSGA002616-PA,1,554631,555224,+
BGIOSGA002616-PA,1,555334,555714,+
BGIOSGA002616-PA,1,556038,556113,+
BGIOSGA002616-PA,1,556201,556264,+
BGIOSGA002616-PA,1,556799,556934,+
BGIOSGA002616-PA,1,557848,557961,+
BGIOSGA002616-PA,1,558033,558098,+
BGIOSGA002617-PA,1,601386,601814,+
BGIOSGA002617-PA,1,601988,602053,+
BGIOSGA002618-PA,1,612110,612373,+
BGIOSGA002618-PA,1,613868,614278,+
BGIOSGA002619-PA,1,615945,616208,+
BGIOSGA002619-PA,1,617716,617907,+
BGIOSGA002619-PA,1,618045,618056,+
BGIOSGA002620-PA,1,619704,620345,+
BGIOSGA002620-PA,1,620479,620634,+
BGIOSGA002620-PA,1,620759,620850,+
BGIOSGA002620-PA,1,620998,621664,+
BGIOSGA002621-PA,1,634308,634502,+
BGIOSGA002621-PA,1,636024,636061,+
BGIOSGA002621-PA,1,636156,636178,+
BGIOSGA002621-PA,1,637738,637844,+
BGIOSGA002621-PA,1,637938,637989,+
BGIOSGA002621-PA,1,638057,638141,+
BGIOSGA002621-PA,1,638492,638582,+
BGIOSGA002621-PA,1,638833,638871,+
BGIOSGA002621-PA,1,638965,639032,+
BGIOSGA002621-PA,1,639129,639191,+
BGIOSGA002621-PA,1,639867,639922,+
BGIOSGA002621-PA,1,640021,640094,+
BGIOSGA002621-PA,1,640188,640280,+
BGIOSGA002621-PA,1,640361,640462,+
BGIOSGA002621-PA,1,640630,640710,+
BGIOSGA002621-PA,1,640797,640888,+
BGIOSGA002621-PA,1,640993,641008,+
BGIOSGA002621-PA,1,641086,641196,+
BGIOSGA002621-PA,1,641287,641391,+
BGIOSGA002622-PA,1,644967,645692,+
BGIOSGA002623-PA,1,646426,647136,+
BGIOSGA002542-PA,1,650159,650311,-
BGIOSGA002542-PA,1,650390,650501,-
BGIOSGA002542-PA,1,650581,650744,-
BGIOSGA002542-PA,1,650950,651102,-
BGIOSGA002542-PA,1,651179,651317,-
BGIOSGA002542-PA,1,651404,651504,-
BGIOSGA002542-PA,1,651576,652247,-
BGIOSGA002542-PA,1,652534,652619,-
BGIOSGA002542-PA,1,652693,653358,-
BGIOSGA002542-PA,1,653455,653709,-
BGIOSGA002542-PA,1,653812,653939,-
BGIOSGA002542-PA,1,655226,655380,-
BGIOSGA002542-PA,1,655461,655681,-
BGIOSGA002542-PA,1,655767,655796,-
BGIOSGA002542-PA,1,655905,655980,-
BGIOSGA002542-PA,1,656092,656225,-
BGIOSGA002542-PA,1,656452,656734,-
BGIOSGA002542-PA,1,657273,657431,-
BGIOSGA002542-PA,1,657796,657889,-
BGIOSGA002542-PA,1,658002,658232,-
BGIOSGA002542-PA,1,658581,658651,-
BGIOSGA002541-PA,1,660522,660581,-
BGIOSGA002541-PA,1,660758,660889,-
BGIOSGA002541-PA,1,660968,661048,-
BGIOSGA002541-PA,1,662220,662342,-
BGIOSGA002626-PA,1,677241,677522,+
BGIOSGA002626-PA,1,677647,677947,+
BGIOSGA002626-PA,1,679279,679672,+
BGIOSGA002626-PA,1,679776,680026,+
BGIOSGA002626-PA,1,680109,680229,+
BGIOSGA002626-PA,1,680324,680564,+
BGIOSGA002626-PA,1,680772,680876,+
BGIOSGA002626-PA,1,681002,681046,+
BGIOSGA002626-PA,1,681169,681321,+
BGIOSGA002626-PA,1,681562,681840,+
BGIOSGA002626-PA,1,682135,682271,+
BGIOSGA002626-PA,1,682404,682494,+
BGIOSGA002538-PA,1,693554,693766,-
BGIOSGA002538-PA,1,693843,694004,-
BGIOSGA002538-PA,1,694390,694537,-
BGIOSGA002538-PA,1,694622,694698,-
BGIOSGA002538-PA,1,694779,694849,-
BGIOSGA002538-PA,1,694930,695016,-
BGIOSGA002538-PA,1,695108,695491,-
BGIOSGA002538-PA,1,695605,696559,-
BGIOSGA002536-PA,1,715974,716650,-
BGIOSGA002536-PA,1,716732,717152,-
BGIOSGA002536-PA,1,718192,718446,-
BGIOSGA002535-PA,1,725356,725466,-
BGIOSGA002535-PA,1,725639,725704,-
BGIOSGA002535-PA,1,725855,725893,-
BGIOSGA002631-PA,1,737452,737667,+
BGIOSGA002631-PA,1,737776,737894,+
BGIOSGA002631-PA,1,738041,738166,+
BGIOSGA002631-PA,1,740003,740184,+
BGIOSGA002631-PA,1,740715,741697,+
BGIOSGA002631-PA,1,741793,742692,+
BGIOSGA002533-PA,1,745472,745582,-
BGIOSGA002533-PA,1,745799,745864,-
BGIOSGA002533-PA,1,745985,746050,-
BGIOSGA002533-PA,1,746177,746302,-
BGIOSGA002533-PA,1,746410,746907,-
BGIOSGA002531-PA,1,760066,760485,-
BGIOSGA002632-PA,1,760133,760468,+
BGIOSGA002527-PA,1,784346,784435,-
BGIOSGA002527-PA,1,784494,785241,-
BGIOSGA002527-PA,1,787393,787664,-
BGIOSGA002636-PA,1,834829,835204,+
BGIOSGA002636-PA,1,836141,837284,+
BGIOSGA002636-PA,1,837601,838777,+
BGIOSGA002637-PA,1,843698,844939,+
BGIOSGA002638-PA,1,849381,849894,+
BGIOSGA002638-PA,1,849980,851561,+
BGIOSGA002638-PA,1,851878,853054,+
BGIOSGA002639-PA,1,862814,863529,+
BGIOSGA002639-PA,1,863612,863781,+
BGIOSGA002639-PA,1,864669,864853,+
BGIOSGA002639-PA,1,868855,870795,+
BGIOSGA002640-PA,1,879223,879392,+
BGIOSGA002640-PA,1,879664,879703,+
BGIOSGA002640-PA,1,879852,879961,+
BGIOSGA002640-PA,1,880875,880923,+
BGIOSGA002640-PA,1,881147,881196,+
BGIOSGA002640-PA,1,881603,882147,+
BGIOSGA002640-PA,1,882579,882739,+
BGIOSGA002640-PA,1,882948,883157,+
BGIOSGA002640-PA,1,883240,883405,+
BGIOSGA002640-PA,1,883480,883584,+
BGIOSGA002640-PA,1,883667,883746,+
BGIOSGA002640-PA,1,884315,884479,+
BGIOSGA002518-PA,1,951130,952277,-
BGIOSGA002518-PA,1,952395,952621,-
BGIOSGA002518-PA,1,952745,953526,-
BGIOSGA002646-PA,1,955782,956717,+
BGIOSGA002517-PA,1,960669,960946,-
BGIOSGA002517-PA,1,961868,962052,-
BGIOSGA002517-PA,1,962140,962915,-
BGIOSGA002647-PA,1,964263,964851,+
BGIOSGA002647-PA,1,964976,965001,+
BGIOSGA002515-PA,1,979496,979527,-
BGIOSGA002515-PA,1,979725,979788,-
BGIOSGA002515-PA,1,980191,980221,-
BGIOSGA002515-PA,1,980572,980672,-
BGIOSGA002512-PA,1,1030332,1030657,-
BGIOSGA002512-PA,1,1031549,1031706,-
BGIOSGA002512-PA,1,1031850,1032139,-
BGIOSGA002512-PA,1,1032335,1032565,-
BGIOSGA002653-PA,1,1082266,1082471,+
BGIOSGA002653-PA,1,1082590,1082652,+
BGIOSGA002653-PA,1,1082747,1082863,+
BGIOSGA002653-PA,1,1082993,1083221,+
BGIOSGA002653-PA,1,1083351,1083509,+
BGIOSGA002653-PA,1,1083601,1083752,+
BGIOSGA002653-PA,1,1083857,1084058,+
BGIOSGA002654-PA,1,1088223,1088369,+
BGIOSGA002654-PA,1,1089533,1089802,+
BGIOSGA002654-PA,1,1089900,1090009,+
BGIOSGA002654-PA,1,1090094,1090184,+
BGIOSGA002654-PA,1,1090684,1090781,+
BGIOSGA002654-PA,1,1090841,1090952,+
BGIOSGA002654-PA,1,1091060,1091313,+
BGIOSGA002654-PA,1,1092067,1092787,+
BGIOSGA002654-PA,1,1093507,1093661,+
BGIOSGA002654-PA,1,1093741,1093828,+
BGIOSGA002654-PA,1,1093932,1094177,+
BGIOSGA002654-PA,1,1094805,1094900,+
BGIOSGA002654-PA,1,1095738,1095926,+
BGIOSGA002654-PA,1,1096271,1096430,+
BGIOSGA002654-PA,1,1096533,1096663,+
BGIOSGA002654-PA,1,1097423,1097590,+
BGIOSGA002654-PA,1,1097671,1097943,+
BGIOSGA002654-PA,1,1098450,1098644,+
BGIOSGA002654-PA,1,1098814,1099017,+
BGIOSGA002654-PA,1,1099104,1099173,+
BGIOSGA002654-PA,1,1099277,1099425,+
BGIOSGA002654-PA,1,1099643,1099951,+
BGIOSGA002654-PA,1,1100262,1100321,+
BGIOSGA002654-PA,1,1100432,1100584,+
BGIOSGA002654-PA,1,1100662,1100772,+
BGIOSGA002654-PA,1,1101336,1101818,+
BGIOSGA002656-PA,1,1142083,1146114,+
BGIOSGA002506-PA,1,1164595,1165730,-
BGIOSGA002506-PA,1,1165983,1166123,-
BGIOSGA002506-PA,1,1167054,1167185,-
BGIOSGA002506-PA,1,1167319,1167514,-
BGIOSGA002503-PA,1,1189833,1191067,-
BGIOSGA002503-PA,1,1191664,1191909,-
BGIOSGA002503-PA,1,1192052,1192237,-
BGIOSGA002503-PA,1,1192398,1192487,-
BGIOSGA002503-PA,1,1192586,1192657,-
BGIOSGA002503-PA,1,1192745,1192931,-
BGIOSGA002502-PA,1,1197229,1197273,-
BGIOSGA002502-PA,1,1197494,1198799,-
BGIOSGA002502-PA,1,1199093,1199420,-
BGIOSGA002502-PA,1,1199979,1200224,-
BGIOSGA002502-PA,1,1200363,1200548,-
BGIOSGA002502-PA,1,1200783,1200912,-
BGIOSGA002501-PA,1,1208023,1208565,-
BGIOSGA002501-PA,1,1209417,1209667,-
BGIOSGA002501-PA,1,1209774,1209855,-
BGIOSGA002501-PA,1,1210324,1210522,-
BGIOSGA002501-PA,1,1210625,1210865,-
BGIOSGA002501-PA,1,1210970,1211276,-
BGIOSGA002501-PA,1,1211378,1212442,-
BGIOSGA002501-PA,1,1212529,1213053,-
BGIOSGA002501-PA,1,1213415,1213654,-
BGIOSGA002501-PA,1,1214886,1215386,-
BGIOSGA002657-PA,1,1227042,1227497,+
BGIOSGA002657-PA,1,1227575,1227772,+
BGIOSGA002657-PA,1,1228028,1228522,+
BGIOSGA002657-PA,1,1228609,1229712,+
BGIOSGA002657-PA,1,1229925,1230237,+
BGIOSGA002657-PA,1,1230423,1230666,+
BGIOSGA002657-PA,1,1230746,1230935,+
BGIOSGA002657-PA,1,1231617,1231787,+
BGIOSGA002657-PA,1,1232422,1232493,+
BGIOSGA002657-PA,1,1233045,1233116,+
BGIOSGA002657-PA,1,1233194,1233439,+
BGIOSGA002659-PA,1,1294076,1294132,+
BGIOSGA002659-PA,1,1294635,1294703,+
BGIOSGA002659-PA,1,1295043,1295111,+
BGIOSGA002659-PA,1,1295530,1295592,+
BGIOSGA002659-PA,1,1295670,1295747,+
BGIOSGA002659-PA,1,1296268,1296503,+
BGIOSGA002659-PA,1,1296593,1297343,+
BGIOSGA002659-PA,1,1297422,1297547,+
BGIOSGA002499-PA,1,1411509,1411724,-
BGIOSGA002499-PA,1,1411884,1412015,-
BGIOSGA002499-PA,1,1412889,1412966,-
BGIOSGA002499-PA,1,1413426,1413603,-
BGIOSGA002499-PA,1,1413673,1413845,-
BGIOSGA002499-PA,1,1413935,1414036,-
BGIOSGA002499-PA,1,1414121,1414198,-
BGIOSGA002499-PA,1,1414582,1414663,-
BGIOSGA002499-PA,1,1414747,1414809,-
BGIOSGA002499-PA,1,1416153,1416232,-
BGIOSGA002499-PA,1,1416486,1416680,-
BGIOSGA002499-PA,1,1416769,1417030,-
BGIOSGA002499-PA,1,1417523,1417677,-
BGIOSGA002499-PA,1,1417756,1417822,-
BGIOSGA002499-PA,1,1417913,1418136,-
BGIOSGA002499-PA,1,1418279,1418383,-
BGIOSGA002499-PA,1,1418591,1418710,-
BGIOSGA002499-PA,1,1419185,1419241,-
BGIOSGA002499-PA,1,1419340,1419484,-
BGIOSGA002499-PA,1,1419714,1420042,-
BGIOSGA002495-PA,1,1436280,1436788,-
BGIOSGA002495-PA,1,1437321,1437522,-
BGIOSGA002495-PA,1,1437903,1437983,-
BGIOSGA002495-PA,1,1438073,1438276,-
BGIOSGA002495-PA,1,1438776,1438985,-
BGIOSGA002495-PA,1,1439058,1439279,-
BGIOSGA002495-PA,1,1440171,1440332,-
BGIOSGA002495-PA,1,1440442,1440669,-
BGIOSGA002495-PA,1,1440891,1440920,-
BGIOSGA002495-PA,1,1441010,1441378,-
BGIOSGA002495-PA,1,1441461,1441676,-
BGIOSGA002495-PA,1,1442308,1442789,-
BGIOSGA002495-PA,1,1443036,1443081,-
BGIOSGA002494-PA,1,1451241,1451354,-
BGIOSGA002494-PA,1,1451549,1451638,-
BGIOSGA002494-PA,1,1451752,1451832,-
BGIOSGA002494-PA,1,1451955,1452105,-
BGIOSGA002494-PA,1,1452212,1452279,-
BGIOSGA002494-PA,1,1452435,1452506,-
BGIOSGA002494-PA,1,1453220,1453453,-
BGIOSGA002493-PA,1,1463103,1463471,-
BGIOSGA002493-PA,1,1463633,1463936,-
BGIOSGA002493-PA,1,1464336,1464407,-
BGIOSGA002493-PA,1,1464499,1464535,-
BGIOSGA002493-PA,1,1464642,1464700,-
BGIOSGA002493-PA,1,1464959,1465243,-
BGIOSGA002493-PA,1,1465408,1465580,-
BGIOSGA002493-PA,1,1466135,1466328,-
BGIOSGA002493-PA,1,1467360,1467489,-
BGIOSGA002665-PA,1,1509976,1510173,+
BGIOSGA002665-PA,1,1510666,1511354,+
BGIOSGA002665-PA,1,1512331,1512661,+
BGIOSGA002665-PA,1,1512967,1513086,+
BGIOSGA002665-PA,1,1513157,1513705,+
BGIOSGA002667-PA,1,1525613,1525891,+
BGIOSGA002667-PA,1,1525982,1526716,+
BGIOSGA002488-PA,1,1556789,1557967,-
BGIOSGA002669-PA,1,1560078,1560698,+
BGIOSGA002669-PA,1,1563774,1563835,+
BGIOSGA002669-PA,1,1563990,1564087,+
BGIOSGA002669-PA,1,1564164,1564273,+
BGIOSGA002672-PA,1,1612216,1612680,+
BGIOSGA002482-PA,1,1647270,1648034,-
BGIOSGA002479-PA,1,1658635,1659136,-
BGIOSGA002479-PA,1,1659231,1659423,-
BGIOSGA002479-PA,1,1660222,1660348,-
BGIOSGA002479-PA,1,1660452,1660729,-
BGIOSGA002479-PA,1,1660942,1661099,-
BGIOSGA002479-PA,1,1661200,1661280,-
BGIOSGA002479-PA,1,1661373,1661444,-
BGIOSGA002479-PA,1,1661565,1661636,-
BGIOSGA002479-PA,1,1661763,1661901,-
BGIOSGA002479-PA,1,1662021,1663079,-
BGIOSGA002479-PA,1,1663252,1663339,-
BGIOSGA002475-PA,1,1725817,1726604,-
BGIOSGA002475-PA,1,1727150,1727309,-
BGIOSGA002683-PA,1,1728294,1728685,+
BGIOSGA002683-PA,1,1729221,1729382,+
BGIOSGA002683-PA,1,1729910,1730096,+
BGIOSGA002683-PA,1,1730597,1731022,+
BGIOSGA002683-PA,1,1731737,1732144,+
BGIOSGA002683-PA,1,1732773,1733030,+
BGIOSGA002684-PA,1,1737670,1739586,+
BGIOSGA002684-PA,1,1739664,1739798,+
BGIOSGA002684-PA,1,1739894,1740316,+
BGIOSGA002684-PA,1,1740509,1740578,+
BGIOSGA002684-PA,1,1740682,1740821,+
BGIOSGA002684-PA,1,1740946,1741005,+
BGIOSGA002684-PA,1,1741102,1741257,+
BGIOSGA002684-PA,1,1741598,1741867,+
BGIOSGA002474-PA,1,1757781,1758902,-
BGIOSGA002474-PA,1,1759084,1759437,-
BGIOSGA002474-PA,1,1759665,1760135,-
BGIOSGA002474-PA,1,1760345,1760634,-
BGIOSGA002474-PA,1,1760941,1760956,-
BGIOSGA002688-PA,1,1762231,1762440,+
BGIOSGA002688-PA,1,1764009,1765514,+
BGIOSGA002688-PA,1,1765616,1765669,+
BGIOSGA002690-PA,1,1779234,1779482,+
BGIOSGA002690-PA,1,1779962,1781341,+
BGIOSGA002690-PA,1,1781518,1781571,+
BGIOSGA002691-PA,1,1800801,1801052,+
BGIOSGA002691-PA,1,1801133,1801249,+
BGIOSGA002691-PA,1,1801374,1801502,+
BGIOSGA002691-PA,1,1801647,1801823,+
BGIOSGA002691-PA,1,1802201,1802341,+
BGIOSGA002691-PA,1,1802616,1802804,+
BGIOSGA002691-PA,1,1802882,1802953,+
BGIOSGA002691-PA,1,1804574,1804722,+
BGIOSGA002691-PA,1,1804833,1805217,+
BGIOSGA002696-PA,1,1852565,1852786,+
BGIOSGA002696-PA,1,1853780,1854046,+
BGIOSGA002696-PA,1,1854293,1854613,+
BGIOSGA002469-PA,1,1864949,1865690,-
BGIOSGA002469-PA,1,1865786,1865915,-
BGIOSGA002469-PA,1,1866015,1866195,-
BGIOSGA002465-PA,1,1899021,1899363,-
BGIOSGA002465-PA,1,1900373,1900680,-
BGIOSGA002700-PA,1,1901436,1901624,+
BGIOSGA002700-PA,1,1901916,1901990,+
BGIOSGA002700-PA,1,1902071,1902178,+
BGIOSGA002700-PA,1,1902635,1902667,+
BGIOSGA002700-PA,1,1902749,1902838,+
BGIOSGA002700-PA,1,1903358,1903483,+
BGIOSGA002700-PA,1,1903967,1904110,+
BGIOSGA002700-PA,1,1904229,1904639,+
BGIOSGA002700-PA,1,1904744,1904875,+
BGIOSGA002700-PA,1,1905481,1905702,+
BGIOSGA002700-PA,1,1905783,1906058,+
BGIOSGA002700-PA,1,1906347,1906484,+
BGIOSGA002700-PA,1,1907003,1907308,+
BGIOSGA002700-PA,1,1907435,1907653,+
BGIOSGA002701-PA,1,1918490,1918610,+
BGIOSGA002701-PA,1,1918861,1919012,+
BGIOSGA002703-PA,1,2013999,2014188,+
BGIOSGA002703-PA,1,2014278,2015014,+
BGIOSGA002459-PA,1,2042705,2043100,-
BGIOSGA002704-PA,1,2057080,2057324,+
BGIOSGA002704-PA,1,2057783,2058441,+
BGIOSGA002704-PA,1,2059388,2061273,+
BGIOSGA002457-PA,1,2102345,2102709,-
BGIOSGA002457-PA,1,2102894,2103209,-
BGIOSGA002708-PA,1,2103568,2104587,+
BGIOSGA002455-PA,1,2117046,2117263,-
BGIOSGA002455-PA,1,2117456,2117540,-
BGIOSGA002454-PA,1,2128220,2128945,-
BGIOSGA002453-PA,1,2132899,2132901,-
BGIOSGA002453-PA,1,2133010,2133464,-
BGIOSGA002453-PA,1,2133753,2134031,-
BGIOSGA002453-PA,1,2134177,2134300,-
BGIOSGA002453-PA,1,2134387,2134596,-
